Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,BRA,80415359,81672541,82927448,84171459,85392586,86581634,87736620,88858471,89944581,90992764,92002092,92970772,93900509,94798466,95674549,96536269,97385186,98220331,99043431,99855752,100657516,101450192,102232088,102996239,103733160,104435783,105101516
Barbados,BRB,127956,128445,128957,129472,129976,130452,130900,131321,131736,132170,132646,133169,133720,134295,134854,135386,135877,136340,136769,137169,137548,137902,138223,138525,138813,139084,139349
Brunei Darussalam,BRN,155344,158296,160895,163322,165879,168750,172015,175598,179343,183005,186429,189534,192399,195119,197855,200719,203743,206870,209997,213022,215828,218376,220728,222904,224982,226987,228948
Bhutan,BTN,273921,277046,281842,287998,294963,302283,309999,318131,326219,333701,340162,345393,349522,352967,356338,360083,364318,368926,373822,378889,384018,389210,394499,399810,405032,410087,414951
Botswana,BWA,706299,724374,742637,760800,778481,795433,811386,826518,841552,857471,874870,894361,915523,936812,956058,971864,983429,991624,998695,1007821,1021216,1039714,1062469,1088021,1114116,1139099,1162570
Central African Republic,CAF,1588510,1630749,1672239,1713183,1754016,1795023,1835903,1876287,1916297,1956164,1995878,2036099,2076368,2114319,2146735,2171641,2187973,2197286,2203461,2211896,2226565,2248836,2277876,2312820,2351973,2394042,2438968
Canada,CAN,14506536,14658499,14806160,14932028,15056838,15200542,15369080,15539429,15682376,15831819,15984826,16150387,16311491,16492292,16683829,16871021,17035831,17219264,17399107,17572607,17703599,17906490,18125501,18387421,18657912,18878616,18986363
Central Europe and the Baltics,CEB,53315596,53172088,53046910,52933014,52821944,52498705,52089897,51722905,51535313,51372130,51214954,51072028,50872526,50686183,50591098,50416819,50312524,50217263,50132475,50048426,49950445,49835495,49720890,49628170,49563802,49457925,49218838
Switzerland,CHE,3438577,3453945,3462457,3473009,3489950,3510099,3532974,3560570,3588235,3614779,3640621,3667010,3704130,3756221,3808334,3852990,3900689,3946780,3996588,4049415,4099073,4146846,4187971,4220798,4252686,4284690,4316627
Channel Islands,CHI,69521,69965,70529,71162,71774,72297,72704,73036,73355,73766,74320,75061,75953,76923,77860,78682,79367,79947,80479,81045,81716,82514,83410,84346,85254,86070,86785
Chile,CHL,7071271,7174019,7272782,7367716,7459342,7548165,7634046,7717131,7798637,7880156,7962875,8047644,8134410,8222344,8310124,8397001,8481053,8562870,8647028,8739824,8844800,8965258,9097252,9228416,9341774,9425669,9475340
China,CHN,618182493,624681689,631092006,637170891,642730896,647869175,652684007,657194875,661443843,665529511,669589760,673459543,677091928,680653754,684100628,687429252,691172304,695813520,700367049,704675333,708647978,712569385,716728147,719905214,722264717,723771010,724187545
Cote d'Ivoire,CIV,7368630,7601485,7832500,8058254,8274523,8478764,8669621,8849176,9022663,9197419,9379140,9569663,9768761,9977533,10196632,10426514,10668125,10921921,11187178,11462641,11747319,12041040,12343867,12655166,12974206,13300380,13633247
Cameroon,CMR,6768384,6953344,7139377,7328153,7521864,7722267,7929955,8144931,8367620,8598312,8837179,9084551,9340473,9604452,9875760,10153792,10438338,10729397,11026877,11330730,11640880,11957213,12279497,12607251,12939928,13277075,13618435
"Congo, Dem. Rep.",COD,20573715,21167682,21706640,22222367,22761644,23359141,24024789,24750634,25531974,26358262,27221813,28123310,29066903,30051807,31077037,32141617,33244602,34385069,35561914,36773965,38019960,39299343,40610874,41951875,43319103,44710172,46123737
"Congo, Rep.",COG,1332148,1371223,1412055,1454488,1498289,1543329,1589295,1636369,1685604,1738399,1795605,1857841,1924393,1993142,2061167,2126410,2188038,2246780,2304083,2362141,2422571,2485795,2551316,2618741,2687358,2756678,2826637
Colombia,COL,17896051,18207335,18515067,18820109,19123924,19427307,19730607,20032617,20330598,20620944,20901092,21171770,21434180,21687044,21928840,22159658,22374122,22575015,22780030,23013034,23288781,23618154,23990081,24370780,24713193,24984564,25171408
Comoros,COM,238801,245529,252307,259139,265986,272853,279726,286626,293594,300706,308012,315525,323238,331157,339284,347627,356188,364951,373895,382953,392089,401274,410522,419834,429210,438653,448164
Cabo Verde,CPV,185501,190096,194338,198314,202166,206009,209845,213640,217434,221301,225288,229420,233675,237959,242121,246066,249767,253247,256559,259819,263070,266349,269626,272866,276036,279117,282095
Costa Rica,CRI,1782855,1825771,1868516,1910424,1950658,1988647,2024098,2057179,2088445,2118714,2148586,2178234,2207502,2236410,2264849,2292775,2320217,2347235,2373809,2399916,2425530,2450639,2475235,2499229,2522539,2545076,2566834
Caribbean small states,CSS,3057246,3083513,3108761,3133044,3156471,3179268,3201331,3222664,3243577,3264531,3285792,3307502,3329546,3352087,3375242,3399031,3423521,3448594,3473834,3498728,3522849,3546027,3568256,3589560,3609947,3629472,3648102
Cuba,CUB,5447439,5469492,5490346,5510185,5529106,5547098,5564815,5582125,5597342,5608177,5613215,5611447,5604005,5594116,5586273,5583618,5587410,5596451,5608387,5619691,5627750,5631930,5632956,5631334,5627928,5623468,5617919
Curacao,CUW,68734,69132,69295,67999,65530,62850,60580,60675,61965,63014,64525,65980,67000,67523,67678,68327,69169,69676,70447,71405,72374,73184,73468,73142,72336,71260,70136
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,431793,440547,449172,457779,466500,475427,484572,493851,503068,512008,520474,528424,535880,542867,549417,555582,561358,566741,571805,576673,581395,586030,590551,594975,599297,603514,607630
Czech Republic,CZE,5018357,5013717,5009608,5006118,5002064,4988828,4970377,4960703,4959602,4962903,4973690,4993621,5031344,5082547,5119920,5141034,5155257,5163916,5165713,5171045,5181793,5193218,5209106,5229012,5252093,5267045,5271642
Germany,DEU,39604081,39753514,39847178,39888792,39948950,40035264,40132580,40228292,40277330,40294422,40296958,40276858,40248412,40197358,40120856,40084439,39371978,39469223,39601642,39795381,40175001,40540539,40737032,40905408,41039660,41107914,41118695
Djibouti,DJI,317169,323878,332631,342556,352249,360759,367771,373733,379387,385776,393626,403230,414204,425823,437042,447092,455731,463209,469898,476395,483117,490177,497397,504712,511947,518993,525837
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,2585390,2600969,2612718,2623106,2632607,2642115,2652166,2661119,2668794,2676194,2684203,2693799,2706654,2723598,2739325,2752727,2765430,2777284,2790261,2805574,2826216,2848688,2867015,2880932,2890825,2898848,2911068
Dominican Republic,DOM,3926192,3990772,4054055,4116810,4180103,4244647,4310795,4378118,4445599,4511784,4575667,4636859,4695746,4752946,4809438,4865924,4922526,4979010,5035367,5091526,5147367,5202940,5258174,5312745,5366198,5418206,5468642
Algeria,DZA,14563635,14823978,15068785,15299817,15519655,15731099,15935089,16134005,16333986,16542653,16766027,17006259,17263894,17541178,17840024,18161360,18505611,18871563,19256116,19654929,20063891,20481901,20906756,21331993,21749666,22153808,22541461
East Asia & Pacific (excluding high income),EAP,873653249,884250081,894725450,904830104,914365254,923421827,932097452,940421049,948450913,956307166,964144102,971798948,979223006,986590050,993862501,1001039430,1008657223,1017191452,1025631103,1033784696,1041535931,1049158151,1056941310,1063668477,1069510740,1074436764,1078207176
Early-demographic dividend,EAR,1147470473,1170071765,1192766928,1215442651,1238022047,1260544403,1282917219,1305162948,1327319210,1349458128,1371620646,1393828055,1416074237,1438309076,1460465304,1482546227,1504506956,1526119805,1547611615,1569047495,1590458235,1611824840,1633112666,1654363982,1675585189,1696748197,1717856936
East Asia & Pacific,EAS,985203458,996575120,1007688519,1018419912,1028448800,1038037268,1047307070,1056112984,1064525656,1072694589,1080811633,1088912833,1096755380,1104736526,1112465681,1120048242,1127981739,1136870478,1145617575,1154111701,1162213721,1170197567,1178279304,1185297955,1191414688,1196361350,1199615344
Europe & Central Asia (excluding high income),ECA,174932741,175121208,175300879,175475063,175541558,175589200,175556451,175532344,175623535,175795045,176002054,176274753,176711118,177403268,178253328,179289902,180425824,181578539,182862647,184166975,185517662,186841407,188085243,189204703,190244087,191044494,191550230
Europe & Central Asia,ECS,412110493,412764155,413383367,413985232,414572422,415070522,415600750,416381890,417513082,418791550,420089513,421396240,422910038,424662361,426381722,428092152,429230697,431067039,433242630,435491701,437750892,439976962,441984391,443850987,445401353,446632828,447160289
Ecuador,ECU,5755289,5878808,6002377,6125220,6246352,6365159,6481233,6594948,6707332,6819880,6933678,7049392,7166802,7285150,7403227,7520353,7635558,7749518,7865060,7986081,8114959,8253234,8399038,8547198,8690487,8823827,8945176
"Egypt, Arab Rep.",EGY,31388895,32028821,32674778,33327170,33985719,34650424,35324564,36009890,36703210,37399737,38097625,38792844,39490813,40210318,40976505,41806220,42706357,43668307,44674003,45697164,46717678,47729770,48735775,49733474,50722599,51702862,52672373
Euro area,EMU,154303996,154724401,155113517,155463871,155896064,156450146,157109586,157946946,158876556,159815156,160690086,161471244,162325240,163122282,163649169,164034409,163675717,164038344,164602499,165191474,165738959,166294538,166743078,167215216,167463120,167756813,167758570
Eritrea,ERI,1096984,1092604,1091802,1097530,1113265,1141068,1182579,1236180,1296606,1356484,1410329,1456460,1495914,1529322,1558278,1584072,1606564,,,,,,,,,,
Spain,ESP,19450213,19536222,19625533,19716936,19810123,19915055,20072613,20378968,20772551,21155313,21535302,21920911,22347423,22718867,22923925,23021109,23080992,23062475,22948578,22845827,22804740,22814173,22869416,22979269,23156203,23277461,23264944
Estonia,EST,664904,655373,649018,644332,647619,651567,647537,642998,638205,633650,629579,625773,623109,621824,621068,620064,618522,616624,614840,613871,615261,616810,619230,623201,627196,629849,630815
Ethiopia,ETH,28440779,29355360,30260073,31163686,32080006,33019427,33985254,34975362,35988523,37021854,38074078,39143932,40234804,41355377,42517094,43727479,44989927,46300213,47648725,49021687,50408589,51805857,53214725,54635264,56069008,57516835,58977276
European Union,EUU,207471611,207805705,208113389,208390929,208741824,209011921,209324245,209853678,210655633,211496125,212284360,212997056,213725125,214415679,214926893,215238647,214871763,215213760,215769561,216356172,216893201,217436570,217873273,218331047,218569282,218795508,218612258
Fragile and conflict affected situations,FCS,270540167,276829283,282955841,289045339,295319564,301927667,308923740,316289258,323962695,331814793,339761652,347785019,355922574,364220671,372754976,381561992,390675527,400085419,409684269,419292563,428931228,438487945,448016288,457688375,467716933,478258727,489351190
Finland,FIN,2487162,2496757,2505481,2513341,2520374,2526845,2533898,2541376,2548805,2557589,2567723,2578956,2591302,2604763,2618656,2632137,2645901,2660106,2673973,2686568,2696829,2705857,2713357,2718009,2722008,2726895,2733847
Fiji,FJI,394117,398601,402724,406393,409498,411976,413675,414677,415480,416770,419008,422455,426903,431690,435917,438943,440532,440958,440759,440707,441372,442913,445150,447925,450959,454018,457087
France,FRA,28932796,29025849,29118970,29216328,29356008,29545788,29748359,29951444,30151232,30363619,30587080,30799427,30992900,31171632,31338371,31499005,31656533,31814442,31981566,32133948,32245927,32324929,32409436,32487909,32550240,32608588,32665882
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,54971,55275,55236,54957,54623,54369,54246,54214,54217,54146,53939,53566,53075,52597,52277,52241,52511,53060,53800,54589,55343,56026,56668,57272,57867,58480,59095
Gabon,GAB,534618,549247,564231,579481,594851,610303,625813,641570,658047,675829,695394,716732,739772,764788,792070,821716,853930,888349,923796,958672,991831,1022809,1051835,1079376,1106192,1132854,1159442
United Kingdom,GBR,28209587,28288204,28369965,28464389,28574782,28696560,28831359,28981791,29147334,29343426,29572935,29815056,30069069,30325613,30574485,30834622,31097291,31335746,31567929,31822154,32094826,32356947,32594185,32807966,33008768,33144663,33281018
Georgia,GEO,2204655,2125971,2059936,2011520,1972775,1936826,1908793,1893355,1881949,1871328,1860110,1849734,1839847,1833806,1817287,1804167,1790352,1778218,1774019,1775779,1779006,1779921,1779524,1777890,1773854,1774234,1766864
Ghana,GHA,8580702,8808767,9035562,9263036,9493999,9730710,9973341,10221782,10477723,10743126,11019196,11306877,11605325,11911719,12222052,12533386,12844636,13156379,13469420,13785234,14104836,14428231,14754799,15084235,15416086,15749999,16085850
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,3483627,3573783,3665584,3757496,3847346,3933799,4016248,4095803,4174801,4256518,4343417,4436812,4536383,4641006,4748735,4858465,4969530,5083247,5202759,5332362,5474968,5631807,5801506,5981068,6166075,6353234,6541530
"Gambia, The",GMB,564394,581929,599665,617814,636611,656267,676893,698482,720852,743719,766917,790378,814219,838605,863777,889920,917082,945203,974246,1004095,1034700,1066028,1098096,1130877,1164364,1198540,1233376
Guinea-Bissau,GNB,526686,537365,547875,558435,569349,580846,593008,605833,619392,633751,648960,665041,682008,699852,718542,738048,758360,779433,801147,823339,845894,868732,891865,915245,938863,962695,986721
Equatorial Guinea,GNQ,251515,262436,274266,286938,300338,314423,329131,344570,360967,378637,397797,418512,440659,464034,488358,513401,539066,565317,591998,618927,645986,673070,700114,727054,753823,780380,806649
Greece,GRC,5248356,5273208,5300456,5330399,5350484,5371003,5396607,5413095,5421670,5429597,5438858,5447147,5451792,5456773,5462689,5463359,5451489,5420637,5381647,5346628,5311962,5289903,5279194,5268106,5262306,5252028,5234701
Grenada,GRD,49773,50152,50438,50679,50896,51143,51412,51688,51966,52239,52493,52732,52947,53169,53405,53667,53965,54288,54624,54961,55289,55598,55891,56162,56426,56666,56902
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,5075718,5192086,5309020,5429456,5554150,5686814,5822337,5956251,6087253,6218537,6350065,6481540,6612866,6743851,6874322,7004138,7135035,7265171,7396093,7527272,7658027,7788565,7918969,8049345,8178496,8306203,8432380
Guam,GUM,75854,76788,77604,78317,78921,79427,79845,80173,80431,80609,80748,80839,80896,80942,80978,81023,81093,81175,81328,81556,81917,82410,83029,83723,84437,85140,85795
Guyana,GUY,374783,375187,374679,373633,372626,372094,372138,372626,373290,373789,373872,373447,372654,371849,371507,371953,373314,375458,378137,380976,383717,386262,388678,390999,393271,395549,397803
High income,HIC,524740130,528274796,531708393,535071272,538439293,541830532,545320061,548926835,552656720,556655870,560806282,565363513,570104943,575140370,579729909,583856505,586865445,590479837,594085835,597790310,601439266,605160587,608534465,611692782,614466896,617597201,618098034
"Hong Kong SAR, China",HKG,3088271,3217429,3232219,3246333,3263849,3278577,3288031,3287182,3264894,3274485,3273098,3278837,3292212,3297759,3291642,3303748,3315094,3342076,3346624,3361767,3382217,3395092,3413403,3433231,3451468,3432331,3394799
Honduras,HND,2836445,2919213,3004602,3091992,3180522,3269500,3358624,3447856,3537044,3626103,3714932,3803456,3891488,3978643,4064461,4148644,4231000,4311692,4391237,4470384,4549686,4629297,4709093,4789031,4868994,4948880,5028683
Heavily indebted poor countries (HIPC),HPC,204539828,210362550,216166898,222042856,228121158,234495945,241204843,248218617,255483926,262917797,270464298,278105880,285876005,293830664,302049124,310588064,319462586,328652723,338136792,347878880,357849655,368045691,378466319,389086663,399876902,410815222,421886732
Croatia,HRV,2234776,2202224,2189097,2185313,2173802,2151012,2069143,2070327,2071338,2072468,2075607,2076429,2076246,2076122,2073859,2068839,2061076,2053880,2047224,2038228,2021330,2007658,1984597,1968189,1958675,1951527,1881022
Haiti,HTI,3810915,3881639,3952707,4024089,4095713,4167535,4239508,4311673,4384193,4457288,4531087,4605611,4680726,4756235,4831903,4907495,4983003,5058344,5133166,5207006,5279570,5350621,5420284,5489045,5557596,5626445,5695743
Hungary,HUN,4934293,4921152,4906937,4891567,4874033,4857933,4843580,4826875,4810503,4797763,4786670,4778206,4770310,4761939,4754950,4744940,4732572,4709560,4698182,4687178,4677655,4665398,4654465,4649998,4649391,4641032,4623623
IBRD only,IBD,1894893836,1920690504,1946334855,1971596796,1996180116,2019971135,2043245311,2066145565,2088903008,2111491959,2134001311,2156272080,2178251043,2200322836,2222500507,2244510758,2267226865,2290957670,2314678789,2337951437,2360602170,2382849713,2404937659,2425584446,2444979564,2462969866,2479249465
IDA & IBRD total,IBT,2372274158,2410413108,2448473929,2486252467,2523497038,2560247114,2596744384,2633129373,2669621716,2706178741,2742868458,2779550920,2816202673,2853193001,2890506181,2928002602,2966372873,3005803762,3045530443,3085213041,3124742850,3164342401,3204225068,3243123834,3281224370,3318324811,3354123417
IDA total,IDA,477380322,489722604,502139074,514655671,527316922,540275979,553499073,566983808,580718708,594686782,608867147,623278840,637951630,652870165,668005674,683491844,699146008,714846092,730851654,747261604,764140680,781492688,799287409,817539388,836244806,855354945,874873952
IDA blend,IDB,161030255,165218311,169509933,173850289,178170054,182545821,186916750,191309013,195756224,200314940,205024056,209902550,214960436,220182387,225532772,231143602,236837217,242456484,248188787,254042891,260009557,266077999,272233475,278482055,284824227,291234174,297707742
Indonesia,IDN,98509830,99960472,101417352,102883961,104362179,105853827,107361267,108887177,110433476,112001701,113592387,115204868,116837197,118486533,120149067,121820505,123499269,125181058,126855422,128509365,130132842,131720864,133272786,134788497,136269761,137717861,139131289
IDA only,IDX,316350067,324504293,332629141,340805382,349146868,357730158,366582323,375674795,384962484,394371842,403843091,413376290,422991194,432687778,442472902,452348242,462308791,472389608,482662867,493218713,504131123,515414689,527053934,539057333,551420579,564120771,577166210
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,500830598,510502547,520217326,529954039,539685380,549387864,559042845,568640650,578176499,587649484,597052213,606386475,615629520,624720983,633583576,642164181,650436593,658420351,666165661,673747770,681223332,688604687,695880522,703055580,710129572,717100970,723973437
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,1791991,1806069,1824240,1843609,1865195,1891446,1923642,1958623,1993055,2031416,2076648,2132639,2193388,2236045,2256124,2265836,2273238,2280451,2290372,2305716,2327061,2354000,2381248,2412947,2448139,2475118,2497172
"Iran, Islamic Rep.",IRN,31304193,31728559,32144792,32558036,32971613,33387552,33813998,34252349,34689329,35105750,35489609,35834475,36149941,36459379,36795158,37180190,37622122,38112878,38640056,39184203,39730143,40274534,40818986,41358895,41889890,42408406,42911442
Iraq,IRQ,10159693,10479432,10810656,11151394,11499449,11852484,12214371,12583917,12948137,13289867,13599537,13865899,14099293,14337817,14633765,15022419,15520711,16111683,16755233,17393213,17983741,18512965,18993936,19444067,19891814,20357778,20845705
Iceland,ISL,134147,134805,135843,137226,138833,140722,142600,143907,144958,146330,148787,152489,156596,159728,160410,160223,160659,161373,162722,164368,165975,168264,172279,177025,181038,184069,187041
Israel,ISR,2738635,2808108,2877188,2942723,3018181,3098862,3172970,3238129,3297969,3357685,3418244,3479876,3542780,3606936,3695280,3765128,3837807,3912366,3989533,4070471,4155479,4241160,4327497,4414918,4503237,4586626,4664016
Italy,ITA,27592154,27581012,27572362,27557541,27546715,27555561,27582192,27646545,27797298,27998963,28144391,28219926,28340310,28499993,28605773,28681402,28732398,28822965,29180255,29473355,29467922,29438983,29415238,29379072,29061567,28944855,28777267
Jamaica,JAM,1253780,1267701,1281990,1296022,1309002,1320370,1329828,1337590,1344245,1350680,1357542,1365004,1372888,1381079,1389346,1397512,1405569,1413582,1421484,1429206,1436700,1443917,1450841,1457453,1463720,1469641,1475189
Jordan,JOR,2399927,2471653,2527224,2571519,2612090,2655130,2701550,2751639,2810277,2883223,2974596,3084896,3213101,3359386,3523395,3703509,3900602,4111005,4322900,4520824,4693410,4836733,4952772,5043481,5113215,5165979,5201385
Japan,JPN,61749884,61866809,61988325,62129048,62214055,62290064,62412936,62531474,62639196,62634379,62614535,62628628,62675474,62681766,62651819,62643467,62510675,62396539,62294204,62200548,62124278,62082854,62022970,61935432,61839312,61647846,61354328
Kazakhstan,KAZ,7661897,7536788,7406815,7267339,7187389,7158398,7143030,7143937,7171504,7226389,7296057,7378898,7469379,7616203,7773930,7889159,8006532,8122815,8242815,8367513,8493748,8619219,8741668,8861980,8981438,9102727,9225846
Kenya,KEN,13810589,14212908,14617273,15025862,15441568,15866806,16302038,16747713,17206227,17680390,18172026,18681879,19209014,19751264,20305443,20868842,21441112,22021761,22607797,23195580,23782609,24367251,24950142,25533874,26122382,26718527,27322828
Kyrgyz Republic,KGZ,2249764,2284851,2319473,2356113,2392216,2421955,2446514,2470828,2498568,2530102,2558985,2585724,2608680,2631398,2661476,2692331,2725184,2771607,2828269,2886649,2947391,3008277,3066892,3128214,3193863,3254827,3311282
Cambodia,KHM,5173358,5334696,5490125,5638164,5777508,5907470,6027167,6137222,6240510,6341054,6442005,6544217,6647523,6752825,6860848,6972050,7087005,7205612,7326766,7448809,7570441,7691291,7811386,7930228,8047364,8162424,8275136
Kiribati,KIR,38520,39074,39663,40280,40921,41592,42286,43000,43762,44585,45483,46473,47545,48633,49682,50650,51517,52292,53020,53740,54491,55278,56087,56938,57822,58744,59709
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,22629669,22847326,23061799,23226996,23390699,23585703,23766880,23904806,24029101,24123474,24171831,24294098,24410397,24589088,24709635,24828871,25019009,25151510,25267949,25428291,25562160,25661177,25729091,25835406,25919595,25949728,25898697
Kuwait,KWT,932509,947491,997283,1068094,1139027,1195302,1232602,1256843,1275633,1300689,1340475,1396227,1464802,1544905,1634049,1729872,1832247,1940367,2050222,2156738,2255989,2346661,2428715,2501082,2563055,2614446,2654306
